SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A048058569	27.1	130	27	51	2.32	112	NA	5.62	1.66	0.3	2.9	8.6	147	2.34	49.4	0.57	11.5	26.3	NA	NA	NA	NA	C2.2:F3.1(5) C2.2:B5.1(4)	M	64	5	1
A048058769	27.3	78	43	243	1.95	99	20	7.62	1.8	0.29	1.88	NA	132	2.97	48.6	0.51	7.2	27.2	116	spring	5	2003	E1.3:H1.2(3) E1.3:D1.2(3)	M	72	4	1
A048058856	31.5	129	65	273	1.94	97	NA	5.29	1.41	0.31	2.48	NA	128	2.82	52.3	0.1	5.9	21.2	117	spring	5	2003	E2.3:H2.2(3) E2.3:D4.2(2)	F	73	6	1
A048058878	31.3	178	28	148	2.31	105	19	10.43	1.83	0.38	2.12	NA	138	2.77	47.9	0.32	7.7	19.9	NA	NA	NA	NA	B1.2:E3.1(5) B1.2:A1.1(4)	F	64	5	1
A048059097	27.9	95	33	146	2.28	113	18	11.18	NA	0.48	2.77	7.6	148	4.24	48.3	0.54	5.3	26.2	NA	NA	NA	NA	F5.2:A1.1(4) F5.2:E2.1(5)	M	65	4	1
A048059117	27.1	132	72	170	2.08	98	NA	11.4	2.29	0.49	2.43	NA	133	3.74	48.1	0.5	5.9	30.5	NA	NA	NA	NA	A5.2:D2.1(5) A5.2:H4.1(5)	M	65	4	1
A048059120	33.1	174	32	176	2.37	107	21	13.8	1.82	0.25	NA	7.7	144	2.5	50	0.46	7.1	24.2	NA	NA	NA	NA	D4.2:G1.1(6) D4.2:C1.1(7)	F	65	5	2
A048059361	33.2	227	32	135	2.36	114	28	7.34	2.12	0.47	3.17	6.6	149	2.84	50.1	0.39	8.9	18.2	NA	NA	NA	NA	E5.2:H5.1(4) E5.2:D4.1(4)	F	63	7	1
A048059602	34.3	235	34	81	2.57	107	21	7.1	2.97	0.48	2.69	8.4	145	3.98	55	1.07	8.3	22.3	NA	NA	NA	NA	H4.2:C5.1(4) H4.2:G1.1(7)	M	60	5	2
A048059836	32.5	192	33	138	2.48	111	21	6.81	1.88	NA	2.87	7.8	146	2.67	49.4	0.41	11.2	23.8	NA	NA	NA	NA	F3.2:A2.1(5) F3.2:E4.1(5)	F	61	4	1
A048059861	29.4	92	32	122	2.07	100	18	12.4	2.38	0.54	2.82	NA	135	3.75	50	0.56	8.3	18.6	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	F	65	7	1
A048060314	29.2	108	27	144	2.41	108	21	8.71	NA	NA	NA	NA	146	NA	51.6	NA	8.8	25.6	NA	NA	NA	NA	G4.3:B5.2(3) G4.3:F2.2(3)	M	65	5	2
A048060889	24.6	107	39	232	1.9	99	20	7.71	1.37	0.24	2.24	NA	128	2.4	45	0.35	7.3	28.3	116	spring	5	2003	H2.3:C5.2(3) H2.3:G2.2(3)	M	71	4	1
A048061051	31.8	121	23	94	2.43	112	20	8.68	2.09	0.29	2.19	NA	149	2.73	51.2	0.5	8.3	25.8	NA	NA	NA	NA	F5.2:A1.1(4) F5.2:E2.1(5)	M	65	4	1
A048061341	29.3	116	26	119	2.12	93	17	13.08	1.68	0.37	2.89	NA	129	3.2	52.4	0.53	7.9	25.6	137	summer	6	2003	B5.2:E5.1(4) B5.2:A1.1(4)	M	67	5	3
A048061513	26.5	100	40	98	2.04	97	21	10.33	2.29	0.34	2.55	NA	129	3.39	48.3	0.75	11.1	25.3	131	spring	5	2003	F3.3:A2.2(5) F3.3:E1.2(4)	M	67	4	1
A048061517	35.3	120	NA	204	1.86	84	NA	8.58	1.56	0.44	2.49	NA	114	4.32	59.5	NA	7.6	21	138	summer	6	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	66	5	2
A048061613	28.5	61	45	182	2	97	21	10.3	1.76	0.34	2.28	NA	128	3.11	50.9	0.66	5	27.6	116	spring	5	2003	H2.3:C5.2(3) H2.3:G2.2(3)	M	71	4	1
A048061864	32.8	185	85	71	2.56	109	24	NA	NA	NA	2.66	7.7	147	4.57	54.4	NA	6.5	24.6	NA	NA	NA	NA	H2.2:C3.1(4) H2.2:G3.1(3)	M	61	6	1
